id,organization,contact_name,city_region,type,website,best_email,phone,priority,persona_hook,email_confidence,status,date_contacted,notes
11,Hearst Castle (Hearst San Simeon SHM),,San Simeon,museum,https://hearstcastle.org/,visitorinfo@hearstcastle.com (school tours: 805-927-2067),800-444-4445,A,Myron Angel / North Coast tourism & California showplace,Likely,Emailed,2026-07-15,Sent batch 2
12,Cayucos Historical Society,,Cayucos,historical society,http://www.cayucoshistoricalsociety.org/,find on site,—,A,Myron Angel / coastal SLO County,Needs lookup,Not contacted,,
13,Santa Margarita Historical Society,,Santa Margarita,historical society,http://www.santamargaritahistoricalsociety.org/,find on site,—,A,Myron Angel / inland SLO County,Needs lookup,Not contacted,,
14,Templeton Historical Museum / Society,,Templeton,museum,http://www.templetonmuseum.com/,find on site,805-434-0807,A,Myron Angel / North County towns,Needs lookup,Not contacted,,
15,Rancho de Guadalupe Historical Society,,Guadalupe,historical society,http://www.guadalupemuseum.org/,find on site,805-343-5901,A,Myron Angel / Santa Maria Valley edge,Needs lookup,Not contacted,,
16,San Diego History Center,,San Diego (Balboa Park),museum,https://sandiegohistory.org/,collections@sandiegohistory.org,619-232-6203,A,Alonzo Horton / New Town founding & city growth,Verified,Emailed,2026-07-15,Sent batch 2
17,Gaslamp Quarter Historical Foundation (Davis-Horton House),,San Diego,museum,https://gaslampfoundation.org/,info@gaslampfoundation.org,619-233-4692,A,Alonzo Horton / Gaslamp & Horton House site,Likely,Emailed,2026-07-15,Sent batch 2
18,Junípero Serra Museum (SDHC),,San Diego (Presidio),museum,https://sandiegohistory.org/,collections@sandiegohistory.org,619-297-3258,A,Alonzo Horton / pre-Horton founding of San Diego,Verified,Draft created,2026-07-16,
19,Old Town San Diego State Historic Park,,San Diego,mission/heritage,https://www.parks.ca.gov/?page_id=663,contact form / parks staff,619-220-5422,A,Alonzo Horton / Mexican/American San Diego before New Town,Needs lookup,Not contacted,,
20,Barona Cultural Center & Museum,,Lakeside,museum,https://www.baronamuseum.com/,museum@baronamuseum.org,619-443-7003 x219,B,Alonzo Horton / Kumeyaay homeland context for SD region,Verified,Not contacted,,
21,Coronado Historical Association,,Coronado,historical society,https://coronadohistory.org/,info@coronadohistory.org,619-435-7242,B,Alonzo Horton / bay cities & resort-era San Diego,Verified,Emailed,2026-07-15,Sent batch 2
22,La Jolla Historical Society,,La Jolla,historical society,https://www.lajollahistory.org/,info@lajollahistory.org,858-459-5335,B,Alonzo Horton / coastal San Diego communities,Verified,Emailed,2026-07-15,Sent batch 2
23,Maritime Museum of San Diego,,San Diego,museum,https://sdmaritime.org/,info@sdmaritime.org,619-234-9153,B,Alonzo Horton / harbor & Pacific commerce,Likely,Draft created,2026-07-16,
24,Save Our Heritage Organisation (SOHO),,San Diego,historical society,https://www.sohosandiego.org/,sohosandiego@aol.com,619-297-9327,B,Alonzo Horton / preservation of Horton-era built environment,Verified,Draft created,2026-07-16,
25,Mission San Diego de Alcalá,,San Diego,mission/heritage,https://www.missionsandiego.org/,contact form,619-283-7319,B,Alonzo Horton / 1769 founding layer under modern SD,Needs lookup,Not contacted,,
26,Mission San Luis Rey,,Oceanside,mission/heritage,https://www.sanluisrey.org/,info@sanluisrey.org,760-757-3651,B,Alonzo Horton / North County mission corridor,Likely,Draft created,2026-07-16,
27,Oceanside Historical Society,,Oceanside,historical society,https://oceansidehistoricalsociety.org/,Info@OceansideHistoricalSociety.org,760-722-4786,B,Alonzo Horton / North County coastal growth,Verified,Draft created,2026-07-16,
28,El Cajon Historical Society (Knox House),,El Cajon,historical society,https://elcajonhistory.org/,info@elcajonhistory.org,619-444-3800,B,Alonzo Horton / East County settlement,Likely,Draft created,2026-07-16,
29,Bonita Museum & Cultural Center,,Bonita,museum,https://www.bonitahistoricalsociety.org/,info@bonitahistoricalsociety.org,619-267-5141,B,Alonzo Horton / South Bay ranchos,Likely,Draft created,2026-07-16,
30,Julian Pioneer Museum,,Julian,museum,https://julianpioneermuseum.org/,info@julianpioneermuseum.org,760-765-0227,B,Alonzo Horton / backcountry Gold Rush vs coastal New Town,Likely,Draft created,2026-07-16,
31,San Dieguito Heritage Museum,,Encinitas,museum,https://www.sdheritage.org/,info@sdheritage.org,760-632-9711,B,Alonzo Horton / North County coastal towns,Likely,Draft created,2026-07-16,
32,Fallbrook Historical Society,,Fallbrook,historical society,https://www.fallbrookhistoricalsociety.com/,info@fallbrookhistoricalsociety.com,760-723-4125,B,Alonzo Horton / inland North County,Likely,Draft created,2026-07-16,
33,Lakeside Historical Society,,Lakeside,historical society,https://www.lakesidehistory.org/,info@lakesidehistory.org,619-561-1886,B,Alonzo Horton / East County,Likely,Draft created,2026-07-16,
34,La Mesa Historical Society,,La Mesa,historical society,https://lamesahistory.com/,info@lamesahistory.com,619-466-0197,B,Alonzo Horton / inland suburbs of Horton’s city,Likely,Not contacted,,
35,Carlsbad Historical Society,,Carlsbad,historical society,https://www.carlsbadhistoricalsociety.com/,info@carlsbadhistoricalsociety.com,760-434-9189,B,Alonzo Horton / North County coastal,Likely,Not contacted,,
36,Del Mar Historical Society,,Del Mar,historical society,https://www.delmarhistoricalsociety.org/,info@delmarhistoricalsociety.org,—,B,Alonzo Horton / North County resort towns,Likely,Not contacted,,
37,Escondido History Center,,Escondido,museum,https://www.escondidohistory.org/,contact form,760-743-8207,B,Alonzo Horton / inland North County,Needs lookup,Not contacted,,
38,San Diego Public Library — Special Collections,,San Diego,library,https://www.sandiego.gov/public-library,specialcollections@sandiego.gov,619-236-5852,B,Alonzo Horton / California & San Diego research collections,Likely,Not contacted,,
39,Japanese American Historical Society of San Diego,,San Diego,archive,https://jahssd.org/,info@jahssd.org,619-338-8181,C,Custom-figure / multi-community San Diego history,Likely,Not contacted,,
40,Lambda Archives of San Diego,,San Diego,archive,https://www.lambdaarchives.us/,info@lambdaarchives.us,619-260-1522,C,Custom-figure / LGBTQ San Diego history,Likely,Not contacted,,
41,Santa Barbara Historical Museum,,Santa Barbara,museum,https://www.sbhistorical.org/,reception@sbhistorical.org (education@sbhistorical.org for tours),805-966-1601,A,Jesse D. Mason / Santa Barbara County settlement,Verified,Draft created,2026-07-16,
42,Santa Bárbara Mission Archive-Library,,Santa Barbara,archive,https://www.sbmal.org/,research@sbmal.org,805-682-4713,A,Jesse D. Mason / mission records & Franciscan CA history,Verified,Draft created,2026-07-16,
43,Old Mission Santa Barbara,,Santa Barbara,mission/heritage,https://www.santabarbaramission.org/,contact form,805-682-4713,A,Jesse D. Mason / mission-era Santa Barbara,Needs lookup,Not contacted,,
44,Carpinteria Valley Museum of History,,Carpinteria,museum,https://www.carpinteriahistoricalmuseum.org/,info@carpinteriahistoricalmuseum.org,805-684-3112,A,Jesse D. Mason / South Coast SB County,Verified,Draft created,2026-07-16,
45,Lompoc Valley Historical Society,,Lompoc,historical society,https://lompochistory.org/,lompochistory@gmail.com,805-735-4626,A,Jesse D. Mason / North County SB / mission corridor,Verified,Draft created,2026-07-16,
46,Lompoc Museum,,Lompoc,museum,https://www.lompocmuseum.org/,lompocmuseum@gmail.com,805-736-3888,A,Jesse D. Mason / Chumash & local archaeology/history,Likely,Not contacted,,
47,Santa Ynez Valley Historical Museum,,Santa Ynez,museum,https://santaynezmuseum.org/,syvm@verizon.net,805-688-7889,A,Jesse D. Mason / valley towns & carriage-era CA,Likely,Not contacted,,
48,Old Mission Santa Inés,,Solvang,mission/heritage,https://missionsantaines.org/,office@missionsantaines.org,805-688-4815,A,Jesse D. Mason / mission corridor (Solvang),Likely,Not contacted,,
49,California Missions Foundation,,Santa Barbara (statewide),education,https://californiamissionsfoundation.org/,info@californiamissionsfoundation.org,805-963-1633,B,Jesse D. Mason / statewide mission heritage network,Verified,Not contacted,,
50,Hollywood Heritage Museum,,Hollywood / Los Angeles,museum,https://www.hollywoodheritage.org/,membership@hollywoodheritage.com,323-874-2276,A,Anita Loos / early Hollywood studio & community history,Verified,Not contacted,,
51,Academy Museum of Motion Pictures,,Los Angeles,museum,https://www.academymuseum.org/,museumeducation@oscars.org,—,A,Anita Loos / screenwriting & Hollywood studio system,Verified,Not contacted,,
52,Los Angeles Conservancy,,Los Angeles,historical society,https://www.laconservancy.org/,info@laconservancy.org,213-623-2489,A,Anita Loos / Hollywood & LA built heritage,Verified,Not contacted,,
53,Los Angeles Public Library — History & Genealogy,,Los Angeles,library,https://www.lapl.org/branches/central-library/departments/history-genealogy,history@lapl.org,213-228-7400,A,Anita Loos / LA & California research collections,Verified,Not contacted,,
54,Seaver Center for Western History Research (NHM),,Los Angeles,archive,https://nhm.org/research-collections/departments-and-programs/history/seaver-center-western-history-research,seavercenter@nhm.org,213-763-3359,A,Anita Loos / Western & LA documentary history,Verified,Not contacted,,
55,Autry Museum of the American West,,Los Angeles,museum,https://theautry.org/,schooltours@theautry.org,323-667-2000,B,Anita Loos / West Coast mythmaking & popular culture,Verified,Not contacted,,
56,Homestead Museum (Workman-Temple),,City of Industry,museum,https://www.homesteadmuseum.org/,info@homesteadmuseum.org (programs: s.dugan@homesteadmuseum.org),626-968-8492,B,Anita Loos / Southern California rancho-to-suburb arc,Verified,Not contacted,,
57,Pasadena Museum of History,,Pasadena,museum,https://pasadenahistory.org/,info@pasadenahistory.org (education: dnevarez@pasadenahistory.org),626-577-1660,B,Anita Loos / greater LA literary & civic culture,Verified,Not contacted,,
58,"The Huntington Library, Art Museum, and Botanical Gardens",,San Marino,library,https://www.huntington.org/,librarydirector@huntington.org (Western History curator path on staff page),626-405-2100,B,Anita Loos / California & literary manuscripts,Verified,Not contacted,,
59,Glendale Historical Society,,Glendale,historical society,https://glendalehistorical.org/,info@glendalehistorical.org,—,B,Anita Loos / LA County film-adjacent communities,Verified,Not contacted,,
60,Natural History Museum of Los Angeles County,,Los Angeles,museum,https://nhm.org/,sponsorship@nhm.org (partnerships) / seavercenter@nhm.org (history),213-763-DINO,B,Anita Loos / LA County history department partnerships,Likely,Not contacted,,
61,The Bancroft Library (UC Berkeley),,Berkeley,archive,https://www.lib.berkeley.edu/visit/bancroft,bancref-library@berkeley.edu,510-642-6481,A,Bancroft / California documentary heartland,Verified,Not contacted,,
62,Museum of the San Ramon Valley,,Danville,museum,https://museumsrv.org/,info@museumsrv.org,925-837-3750,A,Hemme / San Ramon Valley ranching & rail (Depot),Verified,Not contacted,,
63,Contra Costa County Historical Society,,Martinez,historical society,https://www.cocohistory.org/,info@cocohistory.org,925-229-1042,A,Hemme / Contra Costa settlement & county records,Verified,Not contacted,,
64,California Historical Society,,San Francisco,historical society,https://californiahistoricalsociety.org/,info@calhist.org,415-357-1848,A,Bancroft / statewide California narratives,Verified,Not contacted,,
65,Society of California Pioneers,,San Francisco,museum,https://www.californiapioneers.org/,info@californiapioneers.org,415-957-1849,A,Bancroft / Gold Rush & pioneer-era California,Likely,Not contacted,,
66,San Francisco History Center (SFPL),,San Francisco,library,https://sfpl.org/locations/main-library/san-francisco-history-center,sfhistory@sfpl.org,415-557-4567,A,Bancroft / SF & California city archives,Verified,Not contacted,,
67,Chinese Historical Society of America,,San Francisco,museum,https://chsa.org/,info@chsa.org,415-391-1188 x109,B,Bancroft / Chinese California; custom-figure angle,Verified,Not contacted,,
68,Berkeley Historical Society & Museum,,Berkeley,historical society,https://berkhistory.org/,info@berkhistory.org,510-848-0181,B,Bancroft / East Bay civic & university town history,Verified,Not contacted,,
69,Oakland Museum of California,,Oakland,museum,https://museumca.org/,contact form (visitor@museumca.org cited for groups),510-318-8400,B,Bancroft / California history galleries & education,Likely,Not contacted,,
70,Museum on Main,,Pleasanton,museum,https://www.museumonmain.org/,info@museumonmain.org (education: elizabeth@museumonmain.org),925-462-2766,A,Hemme / Amador-Livermore Valley neighbor towns,Verified,Not contacted,,
71,Livermore Heritage Guild,,Livermore,historical society,https://lhg.org/,lhg@lhg.org,—,A,Hemme / Livermore Valley ranching & town history,Verified,Not contacted,,
72,Walnut Creek Historical Society (Shadelands),,Walnut Creek,historical society,https://wchistory.org/,contact form (wchs@gmail.com for admin),925-935-7871,A,Hemme / Contra Costa suburbs & ranch era,Likely,Not contacted,,
73,Oakland Heritage Alliance,,Oakland,historical society,https://oaklandheritage.org/,info@oaklandheritage.org,—,B,Bancroft / East Bay preservation partners,Likely,Not contacted,,
74,Presidio Trust / Presidio museums,,San Francisco,mission/heritage,https://presidio.gov/,contact form,415-561-4323,B,Bancroft / military & SF Bay gateway history,Needs lookup,Not contacted,,
75,Lake Tahoe Historical Society & Museum,,South Lake Tahoe,museum,http://www.laketahoemuseum.org/,LTHS@laketahoemuseum.org,530-541-5458,A,Mark Twain / Tahoe–Virginia City mining corridor,Verified,Not contacted,,
76,Truckee-Donner Historical Society,,Truckee,historical society,https://www.truckeehistory.org/,info@truckeehistory.org,530-582-0893,A,Mark Twain / Sierra crossing & Comstock supply towns,Verified,Not contacted,,
77,Nevada County Historical Society,,Nevada City / Grass Valley,historical society,https://nevadacountyhistory.org/,info@nevadacountyhistory.org,530-265-5910,A,Mark Twain / Northern Mines Gold Country,Verified,Not contacted,,
78,Calaveras County Historical Society,,San Andreas,historical society,https://www.historicalcalaveras.com/,info@historicalcalaveras.com (research: historicalcalaveras@gmail.com),209-754-1058,A,Mark Twain / Jumping Frog country,Verified,Not contacted,,
79,Angels Camp Museum,,Angels Camp,museum,https://angelscamp.gov/,info@angelscamp.gov,209-736-2963,A,Mark Twain / Celebrated Jumping Frog of Calaveras,Likely,Not contacted,,
80,Tuolumne County Historical Society / Museum,,Sonora,historical society,https://tchistory.org/,info@tchistory.org,209-532-1317,A,Mark Twain / Jackass Hill / Mother Lode,Verified,Not contacted,,
81,Columbia State Historic Park,,Columbia,mission/heritage,https://www.parks.ca.gov/columbia/,columbiashp@parks.ca.gov,209-588-9128,A,Mark Twain / Gold Country boomtown living history,Verified,Not contacted,,
82,Groveland Yosemite Gateway Museum,,Groveland,museum,https://www.grovelandmuseum.com/,grovelandmuseum@mlode.com,209-962-0300,B,Mark Twain / Southern Mines / Yosemite approach,Likely,Not contacted,,
83,California State Library — California History Section,,Sacramento,library,https://www.library.ca.gov/california-history/,cslcal@library.ca.gov,916-654-0176,A,"Statewide / Twain, Bancroft, Angel research support",Verified,Not contacted,,
84,California State Railroad Museum (Library & Archives),,Sacramento,museum,https://www.californiarailroad.museum/,library.csrm@parks.ca.gov,916-323-8073,B,Statewide rail; Hemme/Angel town growth via SP,Verified,Not contacted,,
85,Sacramento History Museum,,Sacramento,museum,https://sachistorymuseum.org/,phone / contact form,916-808-7059,B,Statewide / Gold Rush capital & river city,Needs lookup,Not contacted,,
86,Sacramento Historical Society,,Sacramento,historical society,https://sachistoricalsociety.org/,sacramentohistoricalsociety@gmail.com,530-218-5438,B,Statewide / Sacramento region scholarship,Verified,Not contacted,,
87,California State Parks — Office of Historic Preservation,,Sacramento (statewide),education,https://ohp.parks.ca.gov/,contact form,—,C,Statewide landmark network (incl. Mark Twain Cabin #138),Needs lookup,Not contacted,,
88,Mission San Juan Capistrano,,San Juan Capistrano,mission/heritage,https://www.missionsjc.com/,contact form,949-234-1300,C,Statewide mission chain; education programs,Needs lookup,Not contacted,,
89,Monterey History & Art Association,,Monterey,museum,https://www.montereyhistory.org/,MHAA.org1931@gmail.com,831-649-9161,C,Statewide / Alta California capital; custom-figure,Verified,Not contacted,,
90,Santa Cruz Museum of Art & History (MAH),,Santa Cruz,museum,https://santacruzmah.org/,info@santacruzmah.org (archives@santacruzmah.org),831-429-1964,C,Statewide Central Coast; custom local figures,Verified,Not contacted,,
91,History San José,,San Jose,museum,https://historysanjose.org/,info@historysanjose.org,408-287-2290,C,Bay Area south; custom Silicon Valley / valley history,Likely,Not contacted,,
92,Sonoma County Historical Society,,Sonoma County,historical society,https://www.sonomacountyhistory.org/,find on site,—,C,North Bay; custom Wine Country figures,Needs lookup,Not contacted,,
93,Napa County Historical Society,,Napa,historical society,https://napahistory.org/,contact form,707-224-1739,C,North Bay; custom agricultural California,Needs lookup,Not contacted,,
94,Placer County Museums,,Auburn,museum,https://www.placer.ca.gov/2489/Museums,museums@placer.ca.gov,530-889-6500,B,Mark Twain / Gold Country northern mines,Likely,Not contacted,,
95,El Dorado County Historical Museum,,Placerville,museum,https://eldoradolibrary.org/museum-contact-us/,museum@edcgov.us,530-621-5865,B,Mark Twain / Hangtown / Gold Rush,Verified,Not contacted,,
96,El Dorado County Historical Society (Fountain & Tallman),,Placerville,historical society,https://edchs.org/,contact@edchs.org,—,B,Mark Twain / Mother Lode civic history,Verified,Not contacted,,
97,Amador County Historical Society,,Jackson,historical society,https://amadorcountyhistoricalsociety.org/,achs1@outlook.com,—,B,Mark Twain / Mother Lode,Likely,Not contacted,,
98,California African American Museum,,Los Angeles,museum,https://caamuseum.org/,reception@caamuseum.org,213-744-7432,C,Custom-figure / Black California history,Likely,Not contacted,,
99,Japanese American National Museum,,Los Angeles,museum,https://www.janm.org/,contact form / department pages,213-625-0414,C,Custom-figure / Japanese American California,Needs lookup,Not contacted,,
100,California Indian Museum and Cultural Center,,Santa Rosa,museum,https://cimcc.org/,contact form (programs: cimcc.interns@gmail.com),707-579-3004,C,Custom-figure / California Native history statewide,Likely,Not contacted,,

